"","model","Accuracy","Sensitivity","Precesion","Specificity","Recall","F1","Kappa","TP","FN","FP","TF"
"1","逻辑回归",0.897975708502024,0.2,0.6,0.983636363636364,0.2,0.3,0.259528907922912,27,108,18,1082
"2","SVM-线性核函数",0.902024291497976,0.177777777777778,0.705882352941177,0.990909090909091,0.177777777777778,0.284023668639053,0.251083769764703,24,111,10,1090
"3","SVM-多项式核函数",0.844534412955466,0.333333333333333,0.306122448979592,0.907272727272727,0.333333333333333,0.319148936170213,0.231576900641649,45,90,102,998
"4","神经网络-nnet",0.901214574898785,0.266666666666667,0.610169491525424,0.979090909090909,0.266666666666667,0.371134020618557,0.326343557185013,36,99,23,1077
"5","神经网络-multinom",0.898785425101215,0.177777777777778,0.631578947368421,0.987272727272727,0.177777777777778,0.277456647398844,0.241008874357777,24,111,14,1086
"6","分类决策树",0.900404858299595,0.155555555555556,0.7,0.991818181818182,0.155555555555556,0.254545454545455,0.223687236489077,21,114,9,1091
"7","分类条件推理树",0.900404858299595,0.155555555555556,0.7,0.991818181818182,0.155555555555556,0.254545454545455,0.223687236489077,21,114,9,1091
"8","随机森林",0.899595141700405,0.207407407407407,0.622222222222222,0.984545454545455,0.207407407407407,0.311111111111111,0.271282417320962,28,107,17,1083
