"","model","Accuracy","Sensitivity","Precesion","Specificity","Recall","F1","Kappa","TP","FN","FP","TF"
"1","逻辑回归",0.924696356275304,0.407407407407407,0.808823529411765,0.988181818181818,0.407407407407407,0.541871921182266,0.505670446964643,55,80,13,1087
"2","SVM-多项式核函数",0.919838056680162,0.474074074074074,0.695652173913043,0.974545454545454,0.474074074074074,0.563876651982379,0.521477074812626,64,71,28,1072
"3","SVM-线性核函数",0.919028340080972,0.437037037037037,0.710843373493976,0.978181818181818,0.437037037037037,0.541284403669725,0.499635361802123,59,76,24,1076
"4","神经网络-nnet",0.91417004048583,0.481481481481481,0.643564356435644,0.967272727272727,0.481481481481481,0.550847457627119,0.504485408228926,65,70,36,1064
"5","神经网络-multinom",0.923076923076923,0.466666666666667,0.732558139534884,0.979090909090909,0.466666666666667,0.570135746606335,0.530164387401638,63,72,23,1077
"6","分类决策树",0.91578947368421,0.377777777777778,0.71830985915493,0.981818181818182,0.377777777777778,0.495145631067961,0.454004421016834,51,84,20,1080
"7","分类条件推理树",0.911740890688259,0.503703703703704,0.618181818181818,0.961818181818182,0.503703703703704,0.555102040816327,0.506678882272103,68,67,42,1058
"8","随机森林",0.918218623481781,0.385185185185185,0.742857142857143,0.983636363636364,0.385185185185185,0.507317073170732,0.467570163269662,52,83,18,1082
