"","MeanDecreaseGini"
"job",377.964198916209
"education",280.362249794481
"default",43.8225160603238
"contact",50.9644338879205
"month",179.95108596234
"poutcome",161.051078717308
"housing",104.93145805382
"age",471.993602195625
"duration",1763.22540911579
"campaign",215.837162856382
"pdays",180.52847793313
"previous",71.9109279256696
"emp.var.rate",110.449987333622
"cons.price.idx",107.453709306534
"cons.conf.idx",130.493567154867
"euribor3m",629.619875352149
"nr.employed",379.606194032263
