"","MeanDecreaseGini"
"job",404.994220160291
"education",307.52559203256
"default",50.0171860420478
"contact",64.8229018240411
"month",176.306017085096
"poutcome",158.937438767309
"housing",135.317309813599
"age",609.955052997108
"campaign",285.501058479186
"pdays",225.017256941019
"previous",85.1868222290711
"emp.var.rate",116.833537404395
"cons.price.idx",87.2737745466185
"cons.conf.idx",110.34971297548
"euribor3m",725.496058167034
"nr.employed",349.255322096922
